asin,"Amazon Prime price","Amazon prime price lowest","Amazon prime inventory if sold by seller via amazon","Lowest buy box price if not prime (includes item cost and shipping cost)","if lowest price is prime or not (y/n)","seller name","seller rating","handlign time (hours)","shipping price","number of sellers (competitor count)"
B008H3TWNS,$0.00,$16.93,Yes,$26.93,No,,0,0,$0.00,7
B08VHK54H9,$11.99,$11.99,Amazon,$0.00,yes,A364ZIZWWQZDBA,93,0,$0.00,1
B007ADOL28,$19.28,$15.99,Amazon,$18.73,yes,A19VGELELAGZYT,88,0,$0.00,20
B07B7NXV4R,$29.00,$26.00,Amazon,$0.00,No,AZJMNAZLHZV6F,0,0,$0.00,1
B07Z79RQHS,$15.99,$13.50,Amazon,$15.62,No,A3T2O7G3ZNRD6B,0,0,$0.00,20
B0736FLLZR,$10.17,$10.17,Amazon,$10.17,yes,A3LCA8VSMTFCCD,98,0,$0.00,1
B08BFG7229,$35.00,$22.80,Amazon,$24.30,No,A2Y5TVTJEXDIOO,0,0,$0.00,16
B000GCRZL4,$0.00,$3.19,Amazon,$3.19,No,,0,0,$0.00,3
B075S4K5R8,$7.47,$7.47,Amazon,$7.47,yes,A2R2RITDJNW1Q6,91,0,$0.00,7
B09VCMRN4Y,$0.00,$18.53,Yes,$18.53,No,,0,0,$0.00,1
B07BGDV4WD,$36.99,$28.65,Amazon,$28.65,No,A33M186JYS6IM4,0,0,$0.00,20
B07BJM7VKW,$8.95,$8.95,Amazon,$8.95,yes,A192LKVHC4CBWK,100,0,$0.00,1
9790790961,$65.59,$64.00,Amazon,$0.00,No,A35BKAA6VXTYCT,0,0,$0.00,13
B07RV25WK4,$11.99,$9.99,Amazon,$0.00,yes,A29PFSLE3D9XFX,100,0,$0.00,3
B07PHQCH4C,$9.59,$8.99,Amazon,$8.99,yes,A39J3CPHUH426O,100,0,$0.00,3
B077QT3QVG,$8.99,$8.99,Amazon,$0.00,yes,A2WCXNX805LFZR,100,0,$0.00,1
B07FFKHHSF,$16.00,$7.19,Amazon,$7.19,yes,A17EME86RN4ERN,91,0,$0.00,20
B00EUMC62O,$0.00,$13.43,Yes,$0.00,No,,0,0,$0.00,10
